"Series Number",Filename,Name,Description,Gender,"Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strength. Weakness",UUID,Hash
"TEAM BEVEL",,,,,,
1,adewale-the-amebo,"adewale the amebo","adewale the amebo",male,"hair: bald, eyes: black, teeth: none, clothing: red, accessories: mask, expression: none, strength: powerful, weakness: curiosity",cad316c3-37f8-4b27-9f53-9d803bfcfee7,6ca4b25819970d30169bd4aa158b3d73b817cb8b5721f97551d124c6091f9f33
2,alli-the-queeny,"alli the queeny","Alli is an LGBT Stan.",male,"hair: bald, eyes: white, teeth: none, clothing: yellow, accessories: mask, expression: none: strength: powerful, weakness: none",a57ecda4-a26f-4e97-a757-e1800af39aab,2ddd7ab7e95c07ce377a9a47b3483a2c231a8a6271e6bfdeca76353aa8449d51
3,aminat-the-snnobish,"aminat the snnobish","Aminat never really wants to talk to anyone.",female,"hair: brown bun, eyes: none, teeth: none, clothing: yellow, accessories: glasses, expression: blank, strength: none, weakness: attitude",0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,a26d9a8db855cf927cca0def88e10b4f6d03590a43978a21e05820b1722ef294
4,aminu-the-carpenter,"aminu the carpenter","Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: powerful, weakness: none",4f30b751-96e7-40fe-97fd-e3d44973ff2f,ff35900ca62d16e79c154f99662ca8fe2e60a059981956adb1538d893b379504
5,chibuike-the-kudibag,"chibuike the kudibag","Chibuike is too rich. Everyone wonders how he got it.",male,"hair: bald, eyes: black, teeth: none, clothing: blue, accessories: mask, expression: none, strength: hustler, weakness: none",5ce854f2-7ac1-46fd-b3fe-57583935d1e5,f75728ba7d8396b5f19e9714d131dc0e703ebb6bb4da051e62c26bb7c58458b7
6,chidinma-the-model,"chidinma the model","From Paris' runways, to London's streets, she's always in demand.",female,"hair: brown hair, eyes: none, teeth: none, clothing: multicolored, accessories: glasses, expression: none, strength: hardworking, weakness: none",c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,460d1e6971c19aa5505163e1ad4ac9d2362b1665b7cdf28121a392200da0febe
7,"chioma-pretty- girl","chioma pretty girl","Chioma's face card is a 100.",female,"hair: dreads, eyes: none, teeth: none, clothing: multicolored, accessories: glasses, expression: none, strength: none, weakness: none",182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,d8d8852b1930c4b81596a0db9814b27bd46b629c6514cfd516b02f221d207248
8,damilare-the-handsome,"damilare the handsome","He's a fine boy. Everyone loves his face(and him).",male,"hair: bald, eyes: white, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: none, weakness: none",27eca2dc-d7df-474a-8f8f-1858152c711e,bcf16914d4270125830a1d01828924d1c7a22e877b1a73a048e5f063f967eeea
9,ebiowie-the-planter,"ebiowie the planter","Ebiowei has a reputation for nurturing plants.",male,"hair: bald, eyes: none, teeth: none, clothing: multicolored, accessories: none, expression: none, strength: powerful, weakness: none",f1df8270-4d60-4bd4-8959-ba7c384db5c4,1d85bbcabb1972fa5bf4c2c18d9efcdebe370bddb5251cfa61c5f154d2d53944
10,emeka-the-businessman,"emeka the businessman","Emeka only cares about containers. No time to waste.",male,"hair: bald, eyes: white, teeth: none, clothing: orange, accessories: mask, expression: none, strength: hard worker, weakness: none",9b3d75da-4887-4089-aee4-50de3954fdc9,994b9ba7eddd7212454a0b875f1350755c0302f22b21fea5b240ce0677b8fe28
11,gbeminyi-the-monk,"gbeminyi the monk","He lives in a monastery off the coast. No one has heard him speak in years.",male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: none, weakness: none",c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,37bf203f2d64df311d4abc19e8ecb495667892fe83ec2b26f1ca3d3d6c56d78f
12,henry-the-sportsman,"henry the sportsman","He's played every sport known to man. Even cricket.",male,"hair: bald, eyes: yellow, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: agility, weakness: none",e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,bb44c2607820bf9948e82203e81c983b0bee0b9fe08f7589c4bfb58a6c4fc9cf
13,mayowa-the-smallie,"mayowa the smallie","Mayowa is so small but everyone loves him even still.",male,"hair: bald, eyes: blue, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: none, weakness: none",dfbb4163-df24-4d54-b74c-6218a68df8bd,155aa3f504015d5cf52ce82fbd102072e20a68e3198756e7f2642ba5f125903e
14,muyiwa-the-stylish,"muyiwa the stylish","Muyiwa has a motto which is never to be caught unfresh.",male,"hair: bald, eyes: ash, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: creativity, weakness: none ",dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,949b22308a04adc2e5b07a04f5a148f26e460bcaa34bc8cc12f5c693f81ec3f9
15,nina-paper-chaser,"nina paper chaser","Nina na Igbo girl wey like money. Finish.",female,"hair: brown double bun, eyes: none, teeth: none, clothing: animal print, accessories: glasses, expression: none, strength: hustler, weakness: none",59524227-dc52-407c-8cca-e9e8c5fb3018,f3a327893e97295921a007f1c78fc72172faf6eb48bc05648fe123edb2ec6d45
16,oluwaseun-spicy,"oluwaseun spicy","He loves spicy foods. He cooks pepper and sprinkles rice on top.",male,"hair: bald, eyes: black, teeth: none, clothing; yellow and purple agbada, accessories: mask, expression: none strength: none, weakness: none",808f7007-6552-4efa-bd13-4b7c337b102b,a5f048448c415d8eb1fd4fc135166bb26f80f3dda9763e74f49ce35eec858f89
17,sesan-the-smartie,"sesan the smartie","Sesan always comes first in competitions.",male,"hair: bald, eyes: blue, teeth: none, clothing: orange, accessories: mask, expression: none, strength: intelligence, weakness: none",ba3edda7-8940-4ca4-97ba-826398d5909f,2876424f2355b5ef8eca4f8413435eb7676c7722e9591f7e0e7ee8147804e2a3
18,tiwa-london,"tiwa london","If she says she's in London and you see her, you're in London too.",female,"hair: braids, eyes: none, teeth: none, clothing: black top, accessories: glasses, expression: none, strength: none, weakness: untruthfulness",78da7aeb-8352-4e25-89ac-dc48b5984089,6c3246a0eadd8fe901044f61f7a27f280746147da9db45833ee2247fd11991b0
19,tunde-yoruba-demon,"tunde yoruba demon","Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,"hair: bald, eyes: white, teeth: none, clothing: purple and yellow agbada, accessories: mask, expression: none, strength: none, weakness: promiscuity",53b46bd7-a537-402b-b249-0b4074a8faae,20fb75070aadf57ad6e05c1cf3e3f3298e7a4cb2541f5d10dbc87a373f2f83d9
20,yakubu-the-zombie,"yakubu the zombie","Yakubu earned his zombie title because na only dust full him head.",male,"hair: bald, eyes: black, teeth: none, clothing: green and purple agbada, accessories: mask, expression: none, strength:none, weakness:slow to understand things",4adb6781-1614-424e-8f77-fe59ffca2209,387cd0ae76fff236983fe551f24c463b3da242fc3591eb11dd8ae745e7904060
"TEAM CLUTCH",,,,,,
21,abdul-the-vibe,"abdul the vibe","abdul the life of the party and can never be caught unfresh",male,"hair:none,eyes: black,teeth:none, clothings: purple and yellow kaftan, accessories:cap, expression:happy, strength:strong  ",770f817a-9d9a-4772-9a91-e66dd9d03470,5bb41dc24f807b2346cf632412a96a5cba6f878516ce2acaa5c80f807edcf941
22,"emeka-the -clown","emeka the clown","emeka the funny man, always making silly jokes",male,"hair:none ,eyes: black, teeth:none, clothings: yellow and black ankara, accessories:cap, expression:straight, strength:funny",78810fa6-a7ef-4d83-bf57-caf49db4ee69,a3c820418da3d78aa48f574b47e108e2f52c42e42684e4b32ee37da2dfc51292
